SCHOOLID,LockID,LockerID,dept,Sug,Location,Comments,EquipmentLetf
20,41674058,198,6,3,",",,
20,22496329,211,6,3,",",,
20,38194641,209,6,3,",",,
20,2204268,208,6,3,",",,
20,33606373,207,6,3,",",,
20,22496962,206,6,3,",",,
20,43758687,205,6,3,",",,
20,36325726,204,6,3,",",,
20,43757982,203,6,3,",",,
20,33603783,202,6,3,",",,
20,43758808,19,5,3,",",,
20,2201842,199,6,3,",",,
20,43757788,214,6,3,",",,
20,30684859,197,6,3,",",,
20,38194078,196,6,3,",",,
20,45412184,195,6,3,",",,
20,41673658,194,6,3,",",,
20,41673211,193,6,3,",",,
20,38194376,192,6,3,",",,
20,43758728,191,6,3,",",,
20,43760351,189,6,3,",",,
20,25184207,188,6,3,",",,
20,36327524,187,6,3,",",,
20,25183020,201,6,3,",",,
20,33605305,5,5,3,",",,
20,36327165,131,6,3,",",,
20,41675680,17,5,3,",",,
20,43759412,16,5,3,",",,
20,22497321,15,5,3,",",,
20,38195440,14,5,3,",",,
20,16396357,13,5,3,",",,
20,41674974,12,5,3,",",,
20,2204980,11,5,3,",",,
20,43758404,9,5,3,",",,
20,41674140,8,5,3,",",,
20,41676435,212,6,3,",",,
20,25184353,6,5,3,",",,
20,16396019,213,6,3,",",,
20,43757769,4,5,3,",",,
20,33603503,3,5,3,",",,
20,38194189,2,5,3,",",,
20,36327077,1,5,3,",",,
20,41673564,219,6,3,",",,
20,41676487,218,6,3,",",,
20,33606618,217,6,3,",",,
20,43759449,216,6,3,",",,
20,25184042,215,6,3,",",,
20,36327986,184,6,3,",",,
20,38194088,7,5,3,",",,
20,2202915,143,6,3,",",,
20,30685650,186,6,3,",",,
20,43757900,155,6,3,",",,
20,43759327,154,6,3,",",,
20,2204077,153,6,3,",",,
20,43759341,152,6,3,",",,
20,2201845,151,6,3,",",,
20,38193783,149,6,3,",",,
20,36326719,148,6,3,",",,
20,2204737,147,6,3,",",,
20,43757730,146,6,3,",",,
20,36325152,157,6,3,",",,
20,43758661,144,6,3,",",,
20,41675952,158,6,3,",",,
20,43759395,142,6,3,",",,
20,38195853,141,6,3,",",,
20,41675040,139,6,3,",",,
20,41673186,138,6,3,",",,
20,2202334,137,6,3,",",,
20,2201707,136,6,3,",",,
20,36326843,135,6,3,",",,
20,43758613,134,6,3,",",,
20,30684147,133,6,3,",",,
20,43759408,132,6,3,",",,
20,2282564,145,6,3,",",,
20,2203007,171,6,3,",",,
20,30685611,21,5,3,",",,
20,43760359,183,6,3,",",,
20,43758636,182,6,3,",",,
20,43760325,181,6,3,",",,
20,43757939,179,6,3,",",,
20,43758629,178,6,3,",",,
20,43758733,177,6,3,",",,
20,36327394,176,6,3,",",,
20,43757839,175,6,3,",",,
20,43758773,174,6,3,",",,
20,33605167,156,6,3,",",,
20,43760319,172,6,3,",",,
20,2205661,185,6,3,",",,
20,41676488,169,6,3,",",,
20,46116220,168,6,3,",",,
20,2205513,167,6,3,",",,
20,43759427,166,6,3,",",,
20,43758675,165,6,3,",",,
20,22496636,164,6,3,",",,
20,30685109,163,6,3,",",,
20,41673599,162,6,3,",",,
20,2205023,161,6,3,",",,
20,43758384,159,6,3,",",,
20,43757986,173,6,3,",",,
20,41674882,88,5,3,",",,
20,43758679,101,5,3,",",,
20,16396574,99,5,3,",",,
20,38887172,98,5,3,",",,
20,43760144,97,5,3,",",,
20,38195019,96,5,3,",",,
20,41674044,95,5,3,",",,
20,43760427,94,5,3,",",,
20,41674824,93,5,3,",",,
20,43758333,92,5,3,",",,
20,43758317,18,5,3,",",,
20,41676168,89,5,3,",",,
20,2202214,104,5,3,",",,
20,43758316,87,5,3,",",,
20,36328615,86,5,3,",",,
20,38194968,85,5,3,",",,
20,41675791,84,5,3,",",,
20,43758672,83,5,3,",",,
20,41672680,82,5,3,",",,
20,2205544,81,5,3,",",,
20,2204279,79,5,3,",",,
20,33604855,78,5,3,",",,
20,36326185,77,5,3,",",,
20,28253863,91,5,3,",",,
20,2204649,115,5,3,",",,
20,2205551,128,5,3,",",,
20,28253292,127,5,3,",",,
20,2203424,126,5,3,",",,
20,43759365,125,5,3,",",,
20,33604882,124,5,3,",",,
20,41675006,123,5,3,",",,
20,41675930,122,5,3,",",,
20,33604011,121,5,3,",",,
20,41674940,119,5,3,",",,
20,43759391,118,5,3,",",,
